1,Administración de Empresas,El Cristo
2,Biología de Organismos y Sistemas,El Cristo
3,Biología Funcional,El Cristo
4,Ciencias de la Educación,Llamaquique
5,Ciencias Jurídicas Básicas,El Cristo
6,Derecho Privado y de la Empresa,El Cristo
7,Derecho Público,El Cristo
8,Economía,El Cristo
9,Filología Clásica y Romana,El Milán
10,Filosofia,El Milán
11,Física,Llamaquique
12,Geología,Llamaquique
13,Historia,El Milán
14,Informática,Los Catalanes
15,Matemáticas,Llamaquique
